id,value,nomenclature_id
336982755,48,210630311
336982754,46,210630311
345414061,52,210630311
336982756,50,210630311
345414062,54,210630311
345414063,56,210630311
336982752,42,210630311
336982753,44,210630311
336595062,56,210325618
336595059,52,210325618
336595056,46,210325618
336595053,42,210325618
336595054,44,210325618
336595057,48,210325618
336595058,50,210325618
336595060,54,210325618
330285697,44,205522157
330285699,48,205522157
330285700,50,205522157
330285701,52,205522157
330285703,56,205522157
330285696,42,205522157
330285702,54,205522157
330285698,46,205522157
330282019,56,205519340
330282014,46,205519340
330282015,48,205519340
330282012,42,205519340
330282017,52,205519340
330282018,54,205519340
330282013,44,205519340
330282016,50,205519340
336583936,44,210317366
336583939,48,210317366
336583935,42,210317366
336583942,54,210317366
336583940,50,210317366
336583937,46,210317366
336583941,52,210317366
336583943,56,210317366
352394170,46,221898126
352394171,48,221898126
352394175,56,221898126
352394168,42,221898126
352394172,50,221898126
352394174,54,221898126
352394173,52,221898126
352394169,44,221898126
325645841,XS,201719883
325645843,M,201719883
325645842,S,201719883
325675974,S,201748543
325675973,XS,201748543
325675975,M,201748543
325658459,XS,201731557
325658460,S,201731557
325658461,M,201731557
352384149,58,221890047
352384138,42,221890047
352384151,60,221890047
352384143,50,221890047
352384141,48,221890047
352384146,54,221890047
352384147,56,221890047
352384140,46,221890047
352384145,52,221890047
352384139,44,221890047
352379462,44,221886528
352379465,50,221886528
352379468,56,221886528
352379461,42,221886528
352379464,48,221886528
352379471,60,221886528
352379470,58,221886528
352379467,54,221886528
352379463,46,221886528
352379466,52,221886528
352398333,44,221901317
352398338,54,221901317
352398339,56,221901317
352398332,42,221901317
352398336,50,221901317
352398337,52,221901317
352398341,60,221901317
352398340,58,221901317
352398334,46,221901317
352398335,48,221901317
330160349,44,205424964
330160350,46,205424964
330160357,60,205424964
330160353,52,205424964
330160348,42,205424964
330160351,48,205424964
330160354,54,205424964
330160356,58,205424964
330160352,50,205424964
330160355,56,205424964
352397222,48,221900538
352397219,42,221900538
352397220,44,221900538
352397221,46,221900538
352397223,50,221900538
352397226,56,221900538
352397227,58,221900538
352397224,52,221900538
352397225,54,221900538
352397228,60,221900538
352393067,46,221897382
352393069,50,221897382
352393070,52,221897382
352393071,54,221897382
352393072,56,221897382
352393073,58,221897382
352393074,60,221897382
352393068,48,221897382
352393065,42,221897382
352393066,44,221897382
352390010,54,221895067
352390011,56,221895067
352390001,42,221895067
352390003,44,221895067
352390005,48,221895067
352390012,58,221895067
352390013,60,221895067
352390004,46,221895067
352390007,50,221895067
352390008,52,221895067
352387192,58,221892458
352387185,44,221892458
352387190,54,221892458
352387191,56,221892458
352387193,60,221892458
352387186,46,221892458
352387189,52,221892458
352387187,48,221892458
352387188,50,221892458
352387184,42,221892458
352397215,54,221900537
352397218,60,221900537
352397209,42,221900537
352397214,52,221900537
352397213,50,221900537
352397216,56,221900537
352397217,58,221900537
352397210,44,221900537
352397211,46,221900537
352397212,48,221900537
352393060,52,221897380
352393062,56,221897380
352393058,48,221897380
352393063,58,221897380
352393064,60,221897380
352393057,46,221897380
352393056,44,221897380
352393054,42,221897380
352393061,54,221897380
352393059,50,221897380
